iter	Passed	Remaining
0	1	155
1	2	130
2	3	115
3	4	100
4	4	94
5	6	97
6	7	96
7	8	96
8	9	98
9	11	101
10	12	97
11	13	96
12	14	100
13	16	99
14	17	100
15	19	100
16	20	99
17	21	96
18	22	96
19	23	93
20	24	90
21	24	88
22	25	86
23	27	86
24	28	84
25	29	82
26	30	82
27	31	80
28	32	79
29	34	79
30	34	77
31	36	77
32	37	75
33	38	74
34	39	74
35	41	73
36	42	72
37	43	70
38	44	68
39	45	67
40	46	66
41	46	64
42	47	63
43	49	62
44	50	61
45	51	60
46	52	58
47	53	57
48	54	56
49	55	55
50	57	54
51	58	53
52	59	52
53	60	51
54	60	49
55	61	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	42
61	68	41
62	69	40
63	69	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	87	21
80	87	20
81	88	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	98	10
90	99	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
